loss setting:0.0,key,produce time,receive time client 1,receive time client 2,receive time client 3
,1554671920.03572,1554671920.06754,1554671920.73313,1554671920.95434,1554671920.17982
,1554671920.06768,1554671920.0994,1554671920.73322,1554671920.95445,1554671920.17993
,1554671920.09956,1554671920.13114,1554671920.73333,1554671920.95455,1554671920.18006
,1554671920.13128,1554671920.16332,1554671920.73342,1554671920.95466,1554671920.18016
,1554671920.16348,1554671920.1953,1554671920.73351,1554671920.95474,1554671920.2112
,1554671920.19546,1554671920.23019,1554671920.73361,1554671920.95482,1554671920.26017
,1554671920.23031,1554671920.27035,1554671920.73371,1554671920.95493,1554671920.54577
,1554671920.2705,1554671920.57983,1554671920.73382,1554671920.95503,1554671920.59597
,1554671920.57999,1554671920.61175,1554671920.73391,1554671920.95512,1554671920.68858
,1554671920.61186,1554671920.99461,1554671923.69981,1554671920.98597,1554671921.21375
,1554671920.99476,1554671921.45755,1554671923.70009,1554671921.14598,1554671921.21403
,1554671921.4577,1554671921.48953,1554671923.70024,1554671921.586,1554671922.52769
,1554671921.48966,1554671921.78299,1554671923.70036,1554671922.23404,1554671922.52794
,1554671921.78314,1554671921.81511,1554671923.70047,1554671922.23421,1554671922.52806
,1554671921.81521,1554671922.27429,1554671923.7006,1554671922.28285,1554671922.52817
,1554671922.27444,1554671922.30635,1554671923.70069,1554671922.3319,1554671922.52829
,1554671922.30649,1554671922.34208,1554671923.70078,1554671922.36334,1554671922.52839
,1554671922.34223,1554671922.37398,1554671923.70086,1554671922.39487,1554671922.52849
,1554671922.3741,1554671922.40584,1554671923.70098,1554671922.42653,1554671922.52859
,1554671922.40599,1554671922.43786,1554671923.70108,1554671922.46989,1554671922.52868
,1554671922.438,1554671922.49346,1554671923.70119,1554671922.50192,1554671922.52877
,1554671922.49362,1554671922.5255,1554671923.7013,1554671922.53329,1554671922.52887
,1554671922.52563,1554671922.5574,1554671923.70139,1554671922.5658,1554671922.55901
,1554671922.55753,1554671922.58935,1554671923.70149,1554671922.59725,1554671922.6084
,1554671922.58954,1554671922.62136,1554671923.7016,1554671922.62877,1554671922.69772
,1554671922.6215,1554671922.91877,1554671923.70169,1554671924.58625,1554671925.62213
,1554671922.91892,1554671923.33012,1554671923.7018,1554671924.5865,1554671925.6224
,1554671923.33029,1554671923.41843,1554671923.70189,1554671924.58662,1554671925.62252
loss setting:1.2000000000000002,,,,,
,1554671952.23549,1554671952.26783,1554671953.70129,1554671954.58729,1554671952.62369
,1554671952.26801,1554671952.29992,1554671953.70155,1554671954.58755,1554671952.62394
,1554671952.30002,1554671952.52406,1554671953.70168,1554671954.58766,1554671952.62406
,1554671952.5242,1554671952.7436,1554671953.70179,1554671954.58777,1554671953.21762
,1554671952.74375,1554671953.24352,1554671953.7019,1554671954.58787,1554671953.68943
,1554671953.24367,1554671953.80935,1554671953.702,1554671954.58797,1554671953.78159
,1554671953.8095,1554671954.27997,1554671954.57521,1554671954.58806,1554671955.31209
,1554671954.28012,1554671954.31206,1554671954.57546,1554671954.58816,1554671955.31234
,1554671954.31222,1554671954.34418,1554671954.57558,1554671954.58825,1554671955.31249
,1554671954.34433,1554671954.77967,1554671955.10152,1554671954.78816,1554671955.3126
,1554671954.77982,1554671954.81173,1554671955.10177,1554671954.99696,1554671955.3127
,1554671954.81188,1554671954.85951,1554671955.1019,1554671955.06473,1554671955.3128
,1554671954.85966,1554671954.89151,1554671955.10201,1554671955.065,1554671955.3129
,1554671954.89165,1554671954.92359,1554671955.10212,1554671955.06512,1554671955.31299
,1554671954.92374,1554671954.96082,1554671955.10222,1554671955.06522,1554671955.31309
,1554671954.96095,1554671954.99279,1554671955.10232,1554671955.06532,1554671955.31318
,1554671954.99294,1554671955.02501,1554671955.10242,1554671955.06542,1554671955.31327
,1554671955.02516,1554671955.05711,1554671955.10253,1554671955.49686,1554671955.31337
,1554671955.05726,1554671955.0896,1554671955.10263,1554671955.49712,1554671955.31347
,1554671955.08975,1554671955.12161,1554671955.13346,1554671955.55948,1554671955.31356
,1554671955.12175,1554671955.15357,1554671955.3403,1554671955.55972,1554671955.31365
,1554671955.15371,1554671955.18561,1554671955.40404,1554671955.55984,1554671955.31374
,1554671955.18576,1554671955.21772,1554671955.4043,1554671955.55994,1554671955.31383
,1554671955.21786,1554671955.24975,1554671955.40442,1554671955.56004,1554671955.31392
,1554671955.24989,1554671955.29585,1554671955.40453,1554671955.56013,1554671955.31401
,1554671955.29598,1554671955.32782,1554671955.40463,1554671955.56023,1554671955.34357
,1554671955.32797,1554671955.35997,1554671955.40474,1554671955.56032,1554671955.39332
,1554671955.36012,1554671955.39308,1554671955.43702,1554671955.5604,1554671955.39354
,1554671955.39323,1554671955.42512,1554671955.43726,1554671955.56049,1554671955.42476
,1554671955.42526,1554671955.45715,1554671955.48391,1554671955.56062,1554671955.47298
